DHSCLUST,cov,kurtosis,max,mean,median,min,skewness,std
1,3.8418298382451246,28.51897902699825,5.29544,0.17922745901639345,0.0,0.0,5.0777560268138835,0.6885613998820358
2,3.1931256832082635,24.412698216495983,5.29544,0.2241964069264069,0.0,0.0,4.640220421887889,0.7158873050397203
3,4.265295104482358,43.150971915610675,1.55683,0.04265487455197134,0.0,0.0,6.185760479233358,0.18193562760883175
4,6.478113618424829,48.156355658883406,0.11046,0.001872537313432836,0.0,0.0,6.811189144777742,0.012130509471157866
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,4.094593465991552,49.04737924220515,0.54284,0.012764609053497942,0.0,0.0,6.153721095118474,0.052265884826389136
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,3.3499187534495274,27.02857301030696,5.29544,0.2050116600790514,0.0,0.0,4.874801097050739,0.6867724047746324
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,4.145608858275727,28.88959225658671,0.82389,0.027387217391304355,0.0,0.0,5.13995725217405,0.11353669102091468
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,2.6768348678978,15.779196993310777,4.99948,0.2823604444444444,0.0,0.0,3.812179071379031,0.7558322830040087
14,2.7023106403616577,16.310043676010267,4.99948,0.27634077922077915,0.0,0.0,3.8723647937759296,0.746758628054141
15,1.6503806173972797,3.580990504215816,4.99948,0.7567330303030302,0.15167,0.0,2.010923202452564,1.248897525756429
16,2.030519771939082,3.744152696761714,4.99948,0.5843405194805196,0.0,0.0,2.1392820670300146,1.1865149783503477
17,1.209182124566257,-0.08668506240057194,4.99948,1.2370654285714286,0.56806,0.0,1.0400587102145116,1.4958374031474668
18,2.7608072595099067,15.059293856491413,4.99948,0.2866971354166666,0.0,0.0,3.775768794443074,0.7915155327390261
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,2.610499014533696,17.378705289561626,1.19658,0.06186083333333332,0.0,0.0,3.70285485907933,0.16148764445489994
23,4.381746813312609,25.17688771823265,0.31318,0.010272874251497009,0.0,0.0,4.9645163224099695,0.04501313401505816
24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,6.35608218713516,115.5763640612012,3.33299,0.03925422297297297,0.0,0.0,9.950050144953275,0.2495030674083465
27,4.2931880508267675,26.341604943401588,0.31318,0.009611198501872658,0.0,0.0,4.998807855210662,0.04126268256236382
28,10.003808147623793,116.18266255230145,0.24784,0.0020968724279835397,0.0,0.0,10.697233112956603,0.02097670947958941
29,2.0271956222557708,5.059212348977006,0.83773,0.09091082089552238,0.0,0.0,2.2976697701442266,0.1842940181350813
30,5.098324751560241,27.442935745666524,0.12746,0.0036721393034825868,0.0,0.0,5.252183766356405,0.01872175870212245
31,4.257475374564581,36.11682958134194,5.36786,0.13859819494584846,0.0,0.0,5.6557216694463275,0.5900784019410558
32,5.468631592310638,52.83533372906781,3.52445,0.06580599999999999,0.0,0.0,7.006988619270352,0.3598687705635951
33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,4.84466401571113,55.41094461182127,1.7956900000000002,0.04084680751173709,0.0,0.0,7.101540840622697,0.19788905850879115
35,7.2904553523987925,93.12289134993073,0.30682,0.0038334193548387094,0.0,0.0,9.15971477857676,0.027947372653473
36,3.4943201593134545,19.16905178307696,0.29104,0.011832301255230123,0.0,0.0,4.1635319123968815,0.04134584880722048
37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,13.121605062087689,280.6102806117894,3.82674,0.017057854785478548,0.0,0.0,16.507535861431027,0.22382643370149227
39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,8.175617822882081,68.41387597508121,0.10273,0.0013469847328244275,0.0,0.0,8.28435659979342,0.011012432388829454
42,5.411974371583838,62.707721298196574,1.7956900000000002,0.034748680851063835,0.0,0.0,7.5811279699637675,0.188058970212304
43,1.325089122874857,1.9008675939766932,11.98589,2.3156525925925924,1.1970999999999998,0.0,1.66595471748592,3.0684460628014065
44,0.9395793669506682,-0.7463352556397873,12.1918,3.975583529411765,2.19208,0.0,0.7916681524153067,3.7353762558242103
45,0.982103992330032,-0.6984200068596529,12.1918,3.809551636363637,2.27799,0.0,0.784470807641724,3.7413758710601352
46,0.6573555212947878,-1.349566570528678,12.1918,5.595772586206895,5.299869999999999,0.0,0.11230701444955166,3.678412005453116
47,1.8349071027847412,3.6881422109728095,12.1918,1.5275675000000002,0.0,0.0,2.1549047338187743,2.802944455733142
48,2.1441557741121664,5.7374547620691745,4.53239,0.44908908163265293,0.0,0.0,2.4853237273538222,0.9629169474733842
49,3.0349959778423226,12.745237845138634,0.22804,0.0139259649122807,0.0,0.0,3.452795584272258,0.04226524749634525
50,7.948214973555849,98.53755103242472,0.22804,0.0021867217630853987,0.0,0.0,9.363411238569967,0.017380534660355797
51,1.6422102551257074,6.162304113461382,3.56842,0.5168492105263158,0.14537,0.0,2.4312361886127216,0.8487750738799416
52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,1.6042669367625968,3.0512768664502943,4.53239,0.6674265034965036,0.09199,0.0,1.9115080488352303,1.0707302722785064
55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,8.483567649532889,99.73357729888515,0.28043,0.0027211952191235067,0.0,0.0,9.581475780539796,0.02308544372901974
57,5.906203698295702,52.27730516163154,1.74303,0.032274235294117645,0.0,0.0,6.9775872572112885,0.1906182078537832
58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,0.9879174564884491,-1.1735722696791708,3.1173,1.097203448275862,0.70523,0.0,0.5536961800728838,1.0839464398710452
61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,1.7700819150088218,3.321539288161337,3.1173,0.4420049484536082,0.0,0.0,2.058600399636122,0.7823849656021374
65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
