DHSCLUST,Building count,Building area sum,Building area mean,Building area proportion,Residential count,Residential area sum,Residential area proportion,Residential area mean,Damaged count,Damaged area sum,Damaged area proportion,Damaged area mean,Industrial count,Industrial area sum,Industrial area proportion,Industrial area mean,Commercial count,Commercial area sum,Commercial area prop,Commercial area mean,Education count,Education area sum,Education area proportion,Education area mean,Health count,Health area sum,Health area proportion,Health area mean
387,3436,2.847353567998085e-05,8.286826449354149e-09,0.027091679519868392,1,5.371463999970498e-08,1.4874214668362403e-08,5.371463999970498e-08,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1,1.5941790499891718e-07,4.4144690180321816e-08,1.5941790499891718e-07,0,0.0,0.0,0.0
405,8783,0.00010136353049495673,1.1540877888529741e-08,0.0964442320769635,8143,8.172049559998085e-05,8.852840502970135e-06,1.0035674272378836e-08,0,0.0,0.0,0.0,3,9.636008999934247e-08,1.043875837209468e-08,3.212002999978082e-08,47,2.4344089650042468e-06,2.6372128715024897e-07,5.179593542562228e-08,39,1.3939153299946544e-06,1.5100385772856907e-07,3.574141871781165e-08,1,4.029228000006232e-08,4.364891888169714e-09,4.029228000006232e-08
416,8333,8.66369758249808e-05,1.039685297311662e-08,0.08243237545210064,242,1.2284949899964581e-06,1.4027056253686605e-07,5.07642557849776e-09,0,0.0,0.0,0.0,0,0.0,0.0,0.0,2,6.784608500076339e-08,7.746721465269102e-09,3.392304250038169e-08,0,0.0,0.0,0.0,1,4.758568499885523e-08,5.433372425483621e-09,4.758568499885523e-08
419,133,9.566823000079895e-07,7.193100000060072e-09,0.0009102533161123905,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
425,539,1.2247447500015246e-05,2.2722537105779674e-08,0.01165306361443938,75,9.110651650061537e-07,1.6082560992653102e-06,1.214753553341538e-08,0,0.0,0.0,0.0,3,1.7620971500000973e-07,3.110538738429908e-07,5.873657166666992e-08,2,1.9592103500222774e-07,3.458492450587516e-07,9.796051750111387e-08,26,7.545361499951453e-07,1.331943544716323e-06,2.902062115365944e-08,1,2.2128507500254845e-07,3.906230698073353e-07,2.2128507500254845e-07
426,307,5.245057505001014e-06,1.7084877866452816e-08,0.004990508329763686,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
434,1159,8.055342550025022e-06,6.9502524158973456e-09,0.00766440674037795,55,3.1631280000122947e-07,2.596736373951625e-07,5.751141818204172e-09,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
458,450,8.788870719999189e-06,1.9530823822220422e-08,0.008362335874402133,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1,5.462847000133016e-08,1.1550507176367536e-07,5.462847000133016e-08,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
461,3,2.9096745199934797e-06,9.69891506664493e-07,0.002768464390539757,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
471,268,9.47046058998931e-06,3.5337539514885485e-08,0.009010847338847477,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1,7.497423000020416e-08,2.661777507916184e-07,7.497423000020416e-08,7,3.3636362999920375e-07,1.1941771790260256e-06,4.8051947142743394e-08,0,0.0,0.0,0.0
473,41,1.6157413949994219e-06,3.940832670730298e-08,0.0015373274521395465,18,2.4230988500373913e-07,5.6231776683991834e-06,1.3461660277985507e-08,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1,5.1257469999231375e-08,1.1895092956437636e-06,5.1257469999231375e-08,1,2.4887610000901226e-08,5.775556897925828e-07,2.4887610000901226e-08,0,0.0,0.0,0.0
488,11,6.765856099973018e-07,6.150778272702744e-08,0.0006437500674244994,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
508,892,7.024108865025188e-06,7.87456150787577e-09,0.00668322011086668,64,6.537742849993751e-07,6.973607673184597e-07,1.0215223203115236e-08,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
509,13349,0.00012198090222996582,9.137830716155954e-09,0.11606101707565812,202,1.461816704997952e-06,1.0419304210879343e-07,7.236716361376001e-09,0,0.0,0.0,0.0,2,2.5793444500120725e-07,1.8384640425460662e-08,1.2896722250060362e-07,10,6.043018749978788e-07,4.307246626256404e-08,6.043018749978787e-08,8,3.263117250061141e-07,2.325832724986044e-08,4.0788965625764265e-08,0,0.0,0.0,0.0
511,4614,3.3877800995001515e-05,7.342392933463702e-09,0.032233669106283336,17,1.2597602999989972e-07,2.597794892015752e-08,7.4103547058764544e-09,0,0.0,0.0,0.0,0,0.0,0.0,0.0,5,1.7311889500029902e-07,3.5699440690704886e-08,3.4623779000059814e-08,5,2.9932993499870663e-07,6.172585182813476e-08,5.986598699974133e-08,0,0.0,0.0,0.0
513,6382,4.171218529501058e-05,6.535911202602723e-09,0.03968784097579793,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,15,5.635511050018795e-07,8.401774800685445e-08,3.757007366679197e-08,0,0.0,0.0,0.0
515,11869,4.684678391000778e-05,3.946986596175565e-09,0.044573251123104125,354,2.404862375012776e-06,1.9278384091939512e-07,6.7933965395841135e-09,0,0.0,0.0,0.0,0,0.0,0.0,0.0,3,3.1532910000271785e-08,2.527810143474719e-09,1.0510970000090595e-08,0,0.0,0.0,0.0,0,0.0,0.0,0.0
516,12145,4.8445990785017406e-05,3.988965894196575e-09,0.046094846496108406,354,2.404862375012776e-06,1.8840275075111802e-07,6.7933965395841135e-09,0,0.0,0.0,0.0,0,0.0,0.0,0.0,3,3.1532910000271785e-08,2.470364643301918e-09,1.0510970000090595e-08,0,0.0,0.0,0.0,0,0.0,0.0,0.0
518,18,3.4804662499343966e-07,1.933592361074665e-08,0.00033115548867095886,1,3.062878499863796e-08,1.6190184391104482e-06,3.062878499863796e-08,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
519,46,1.4747931149959846e-06,3.2060719891217056e-08,0.0014032195677641365,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
520,10090,9.653956158503164e-05,9.567845548566069e-09,0.09185437638814588,6931,4.700637242999397e-05,4.432615918077223e-06,6.782047674216415e-09,0,0.0,0.0,0.0,53,5.830251174981872e-06,5.49782142902032e-07,1.1000473915060136e-07,5,1.259381300000691e-07,1.1875737923885918e-08,2.5187626000013817e-08,27,4.532515750014797e-07,4.274080390349725e-08,1.678709537042518e-08,0,0.0,0.0,0.0
521,460,1.2339746080007668e-05,2.6825534956538407e-08,0.011740882829355152,2,3.352409500066413e-08,6.934158457502988e-08,1.6762047500332062e-08,0,0.0,0.0,0.0,7,1.5905918750068128e-06,3.28999667322728e-06,2.2722741071525893e-07,1,3.118764999950544e-08,6.450885758718601e-08,3.118764999950544e-08,2,3.40277099990703e-08,7.038326704265633e-08,1.701385499953515e-08,0,0.0,0.0,0.0
522,20,1.2147127000045722e-06,6.07356350002286e-08,0.0011557611793316946,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1,9.110574999980301e-09,4.3342137224413054e-07,9.110574999980301e-09,0,0.0,0.0,0.0,0,0.0,0.0,0.0
523,27,1.1508019049963742e-06,4.262229277764348e-08,0.0010949520548280787,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,7,1.3602171499984822e-07,4.7933485818209615e-06,1.9431673571406888e-08,0,0.0,0.0,0.0,0,0.0,0.0,0.0
527,694,9.368417830002464e-06,1.3499161138332081e-08,0.008913756841132037,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
528,5296,4.547504457501693e-05,8.586677601022833e-09,0.04326808400701262,1195,8.341709455005545e-06,1.4986548154627922e-06,6.980510004188742e-09,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1,9.827099999696686e-09,1.7655171060582154e-09,9.827099999696686e-09,7,1.384800400008466e-07,2.4879046664495807e-08,1.9782862857263797e-08,0,0.0,0.0,0.0
529,26,8.630974699952074e-07,3.3196056538277215e-08,0.0008212102744921562,4,4.23384849982584e-08,1.5493748297759953e-06,1.05846212495646e-08,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
533,17,8.933469999929355e-07,5.25498235289962e-08,0.0008499917571129207,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
535,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
536,316,9.18923544001452e-06,2.907985898738773e-08,0.008743270395763388,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1,6.443278000026397e-08,1.9400562314463747e-07,6.443278000026397e-08,1,4.96612099997921e-08,1.4952876458360007e-07,4.96612099997921e-08,0,0.0,0.0,0.0,0,0.0,0.0,0.0
539,10,7.123559249997841e-07,7.12355924999784e-08,0.0006777844044757017,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
542,772,2.767247768999748e-05,3.584517835491902e-08,0.0263294978721315,108,2.6880850499987078e-06,3.3129908466186707e-06,2.4889676388876918e-08,0,0.0,0.0,0.0,3,4.1940076499659147e-07,5.168999007301664e-07,1.3980025499886383e-07,11,3.379738800028513e-07,4.16543505885791e-07,3.0724898182077394e-08,22,1.8445052299950908e-06,2.2733019342215164e-06,8.384114681795868e-08,0,0.0,0.0,0.0
543,39,5.272417420019184e-06,1.3519019025690214e-07,0.005016540434019836,1,4.011997500065938e-08,9.787923751455408e-07,4.011997500065938e-08,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,24,3.4335473500263145e-07,8.376700049917031e-06,1.4306447291776309e-08,0,0.0,0.0,0.0
544,289,4.130537445001528e-05,1.4292517110731932e-07,0.0393007731679328,0,0.0,0.0,0.0,0,0.0,0.0,0.0,12,1.683269852502865e-05,5.5417947040500696e-05,1.4027248770857209e-06,1,1.3169689999712165e-08,4.3358299434797136e-08,1.3169689999712165e-08,2,1.043039350005726e-07,3.433976992686454e-07,5.215196750028629e-08,1,4.4912081000355406e-07,1.4786312026295484e-06,4.4912081000355406e-07
545,2219,5.9862600704958985e-05,2.697728738393826e-08,0.05695739411332846,1015,2.1799296030024474e-05,9.34716044848134e-06,2.147713894583692e-08,0,0.0,0.0,0.0,1,1.7088573499998494e-07,7.327284244415711e-08,1.7088573499998494e-07,24,5.873844999981963e-07,2.5186029672114897e-07,2.4474354166591517e-08,12,8.845505749968494e-07,3.792799610549027e-07,7.371254791640412e-08,0,0.0,0.0,0.0
546,1040,2.8285439569978277e-05,2.7197538048056035e-08,0.02691271194842239,297,6.320056915005547e-06,5.7820544991537885e-06,2.1279652912476583e-08,0,0.0,0.0,0.0,2,3.8950756499732e-07,3.5635026692559684e-07,1.9475378249866e-07,10,3.679299050013693e-07,3.366094310852463e-07,3.679299050013694e-08,16,1.2168404749928897e-06,1.1132554718740058e-06,7.605252968705559e-08,0,0.0,0.0,0.0
547,133,1.0110126419969284e-05,7.60159881200698e-08,0.009619469389175104,17,4.1015995499948565e-07,2.9342434690852334e-06,2.412705617644033e-08,0,0.0,0.0,0.0,6,9.512271149913437e-07,6.8049840452699465e-06,1.585378524985573e-07,1,8.855650000224916e-10,6.335243814257097e-09,8.855650000224916e-10,1,1.564735800012635e-07,1.1193964076860427e-06,1.564735800012635e-07,0,0.0,0.0,0.0
549,243,8.816149399971312e-06,3.6280450205643264e-08,0.008388290686050211,11,2.83790424998102e-07,1.1111840416236613e-06,2.5799129545282002e-08,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1,3.2207438499852235e-07,1.261085242141297e-06,3.2207438499852235e-07,0,0.0,0.0,0.0,0,0.0,0.0,0.0
