DHSCLUST,Total number of roads,Number of trunk roads,Number of primary roads,Number of paved roads,Number of unpaved roads,Number of intersections,Total road length,Trunk road length,Primary road length,Paved road length,Unpaved road length,Distance from nearest trunk road,Distance from nearest primary road,Distance from nearest paved road,Distance from nearest unpaved road,Distance from nearest intersection
387,75.0,0.0,8.0,0.0,0.0,214.0,35998.29405280084,0.0,6465.804737469229,0.0,0.0,2638.3082,362.13367,2768.40524,2141.4140399999997,305.21653913875105
405,236.0,5.0,7.0,4.0,4.0,910.0,78936.30375239166,3916.1322,1372.9357947075553,1920.8936976401203,1497.758312462096,441.1192,770.4272900000001,678.45231,1187.1064199999998,346.760244893797
416,232.0,3.0,5.0,12.0,9.0,734.0,58989.6752956639,3667.1180700000004,3109.60715244879,3582.21962686657,3283.943806478188,796.88301,1006.5757199999999,303.1261,262.1564,87.21910332120838
419,3.0,0.0,0.0,0.0,0.0,2.0,2342.486893678556,0.0,0.0,0.0,0.0,2805.59284,5335.3318899999995,4928.88054,3371.80565,1984.6912745377506
425,319.0,9.0,4.0,86.0,75.0,960.0,66006.80998851368,4102.0941,2561.5735531118526,30798.22298338668,9232.438428344381,1068.87759,1596.8653199999999,274.48715,138.66098,140.46990853390585
426,153.0,1.0,0.0,0.0,0.0,476.0,47070.67383257741,3934.78571,0.0,0.0,0.0,222.38089,3262.8152,3242.5669199999998,5550.0242,124.41808448466156
434,74.0,0.0,4.0,1.0,0.0,350.0,19105.822144822443,0.0,5306.308249886749,262.6914749787795,0.0,220860.364,623.71971,1671.0661400000001,2191.84917,660.9813727972161
458,185.0,4.0,0.0,1.0,0.0,638.0,56654.65303178007,4029.22549,0.0,380.90366376698233,0.0,187.97008,21420.41956,922.15674,8067.84085,187.97008064398534
461,40.0,0.0,0.0,0.0,0.0,112.0,26870.639406467042,0.0,0.0,0.0,0.0,1957.55604,3266.53942,11534.20994,11236.79781,638.7697580173714
471,145.0,3.0,7.0,1.0,1.0,578.0,46386.18443195469,2234.42354,2458.551674893749,1734.5925949435248,391.555790846451,1676.7818,1190.44423,1190.44423,896.28206,552.355705037522
473,84.0,3.0,0.0,0.0,0.0,400.0,34448.46076948209,3834.83684,0.0,0.0,0.0,409.57558,3405.52279,10215.52052,9219.35395,499.3842025891574
488,63.0,6.0,0.0,0.0,0.0,262.0,31594.689340379213,2701.66483,0.0,0.0,0.0,1587.56903,7207.452509999999,17854.827419999998,2395.47461,709.4919355174496
508,43.0,0.0,6.0,0.0,0.0,102.0,17993.502308044095,0.0,4282.729892855568,0.0,0.0,18722.25788,131.47671,4452.0875,6787.959290000001,111.81609971013008
509,538.0,1.0,19.0,22.0,3.0,1824.0,104880.0397751385,1581.666,6667.693763035583,6074.913892235108,230.88775455505527,1804.71265,528.28552,546.2856099999999,846.5472900000001,52.5347138041601
511,187.0,3.0,5.0,8.0,0.0,496.0,41884.12856370615,3969.49695,2180.1770541701935,6149.67400404618,0.0,484.22985,1598.29161,484.22985,4570.93959,484.2298539749586
513,176.0,0.0,9.0,0.0,0.0,516.0,31039.374721140277,0.0,2820.353495019067,0.0,0.0,5556.0245,1328.88453,4375.67848,3350.84838,628.0298195781509
515,215.0,5.0,6.0,6.0,0.0,684.0,45911.77072037418,3796.8364,4364.082784774418,3836.5277985212297,0.0,492.22299000000004,16.93649,492.22299000000004,11384.4681,21.150965826463914
516,228.0,5.0,6.0,6.0,0.0,754.0,51720.39582378201,4082.62251,4185.438205996486,4122.3139029152835,0.0,289.74575,766.34916,289.74575,10879.06926,289.7457515243871
518,347.0,0.0,4.0,26.0,2.0,1186.0,71351.14704382014,0.0,534.7926849308046,5517.7825110778285,61.03419363340002,7984.9825900000005,1730.45628,741.08368,1516.00685,159.37331968605508
519,387.0,0.0,1.0,0.0,0.0,1486.0,101937.30555878492,0.0,3544.1089933212475,0.0,0.0,3821.33843,500.5243,5929.11815,3951.02577,323.0315558292814
520,1035.0,0.0,3.0,2.0,0.0,3870.0,200072.66127433153,0.0,4681.599911167727,1204.9649650327065,0.0,5481.50165,682.5206900000001,1405.3315300000002,3281.09328,88.73752237936634
521,247.0,0.0,6.0,5.0,5.0,664.0,73132.4870963975,0.0,5462.840090961471,10058.46808469236,1934.0663137804834,3060.8831,571.3537299999999,378.6696,1252.96033,305.85539746461825
522,105.0,0.0,0.0,0.0,0.0,302.0,28633.784171877764,0.0,0.0,0.0,0.0,6723.0205,7215.08042,3913.73953,6313.20393,233.8876543013174
523,211.0,1.0,2.0,5.0,6.0,568.0,55532.602073353606,1184.63609,1856.093459751622,3101.4042348074463,1227.8820973616541,1847.8193399999998,1443.85859,1516.81055,1187.8070300000002,292.8094395983854
527,96.0,2.0,3.0,1.0,0.0,280.0,32691.079440129808,1405.09999,2843.4210940735848,1460.0430220249762,0.0,1842.8466600000002,1571.8600800000002,1418.08632,3236.0608899999997,464.23508927315504
528,291.0,0.0,16.0,0.0,0.0,790.0,49597.402427655536,0.0,6150.657475065352,0.0,0.0,2825.30187,782.42307,2045.47112,2249.46184,659.7869527488965
529,33.0,0.0,0.0,0.0,0.0,82.0,9038.527921980693,0.0,0.0,0.0,0.0,10681.43852,10239.25354,5314.040779999999,9790.99482,490.6976628189318
533,68.0,2.0,0.0,1.0,0.0,162.0,26467.141620849823,3966.9003299999995,0.0,432.9610982676856,0.0,264.34063,6323.2419899999995,1646.12031,4641.99609,165.5689646760211
535,33.0,0.0,1.0,0.0,0.0,88.0,27593.22351471373,0.0,4308.464791989521,0.0,0.0,4349.52851,874.0830199999999,4564.922689999999,3242.3236899999997,490.0536147395701
536,317.0,4.0,12.0,1.0,2.0,1084.0,70646.6672521891,2864.73987,3884.4872808343666,2245.1848664007475,3522.017554327181,1430.86961,955.24366,1430.86961,362.59165,362.5916489468887
539,161.0,0.0,1.0,0.0,2.0,548.0,53833.628732451485,0.0,1604.272719055639,0.0,935.1779751194241,2868.7241,1825.6108800000002,4207.02295,1217.66592,195.1199322403233
542,949.0,32.0,34.0,82.0,9.0,3720.0,215580.2263090649,5842.25011,7974.757363854776,17783.27408258267,1604.4225169815052,449.43585,876.77397,36.260329999999996,336.13959,36.26032710557961
543,355.0,0.0,1.0,24.0,3.0,1140.0,78865.88565393296,0.0,2089.765343201097,8704.584453763648,769.5410023169898,4448.3484,1689.9807899999998,28.220509999999997,950.30482,28.22051128781148
544,530.0,0.0,57.0,60.0,9.0,1920.0,134556.60169714896,0.0,14372.28551743992,22490.45677123959,2866.076237492797,2266.76067,386.41967,82.1147,261.67356,82.11470298152862
545,904.0,39.0,40.0,60.0,2.0,3592.0,219229.5032475802,5615.806860000001,11560.223294695872,11943.802498092167,185.82127017176762,153.13842,343.76722,207.07015,1796.1146399999998,27.27750719564736
546,1022.0,23.0,43.0,73.0,8.0,3830.0,208677.50160396824,4362.904979999999,9504.44817212476,14216.474839399672,1547.074889038218,818.64783,526.61858,798.6436,463.06534000000005,46.15907402662838
547,567.0,24.0,4.0,51.0,8.0,2044.0,140835.1983388027,5243.48758,554.2261005683679,11067.138187892138,1624.0361358274558,1083.47221,1675.13961,731.09167,1100.07129,147.92117137360412
549,590.0,0.0,12.0,5.0,22.0,1958.0,153747.74987667875,0.0,4554.624351220812,912.3837989017712,11047.889596732186,3981.6363200000005,1327.11802,1195.45109,366.99075,20.466811647753246
551,215.0,0.0,0.0,0.0,0.0,602.0,51312.888475444495,0.0,0.0,0.0,0.0,5732.06948,3040.5893899999996,2465.11881,2704.42035,94.2654016587163
552,341.0,0.0,1.0,27.0,10.0,1524.0,96893.7173458016,0.0,2163.9504117357264,12056.076518558997,4635.141239431526,5697.756,1642.21096,997.06713,254.20555,177.74201556155555
553,278.0,0.0,0.0,2.0,9.0,834.0,67487.01574215615,0.0,0.0,2477.9648531805287,3645.634249329108,2541.68858,4484.498320000001,177.83296,1089.36385,131.09036519090142
554,194.0,4.0,0.0,45.0,12.0,602.0,52389.854450515086,2626.46964,0.0,9201.958062465688,2152.0509653625345,1313.41428,4479.3073,558.16818,996.5359199999999,205.79556037279832
555,294.0,3.0,0.0,113.0,13.0,1008.0,70332.34508404501,4210.425679999999,0.0,24704.54788169445,2596.0210506450335,215.15902999999997,4057.69516,44.033190000000005,673.55135,44.03319241163336
557,344.0,20.0,1.0,1.0,0.0,1086.0,77860.59764133907,4575.241129999999,1738.692891534819,582.0777175332119,0.0,56.04075,403.33247,1248.31082,3631.01294,56.0407467774833
558,795.0,40.0,15.0,108.0,19.0,2746.0,161927.08134902926,9910.4335,5826.612095252699,25274.295315242383,3770.1404234483807,818.081,264.19551,31.83888,37.956070000000004,37.956071930736044
559,365.0,0.0,8.0,13.0,18.0,1174.0,86664.46707033119,0.0,2079.2527128238844,2052.583489216416,12678.882930229938,3709.3223799999996,1383.3659,1310.90617,196.62949,212.4407821665781
560,112.0,0.0,0.0,54.0,9.0,344.0,43449.91763742523,0.0,0.0,19148.38472944611,2068.5651509746713,2315.39683,4041.72541,18.00844,603.00513,525.3139769754042
566,616.0,28.0,19.0,5.0,1.0,2110.0,140429.57018579793,8149.4746700000005,8851.858903542547,2005.607400727803,369.68328892014193,219.863,37.81049,538.20109,1769.2859899999999,49.89181979163273
567,71.0,0.0,0.0,0.0,0.0,236.0,39666.40961656751,0.0,0.0,0.0,0.0,3635.73025,6436.35603,5296.4489,2410.09542,185.86337702845364
571,307.0,7.0,1.0,1.0,0.0,1088.0,81044.97210777647,4118.6897,16.912147641363127,1469.9173287396868,0.0,29.38545,1998.23362,29.38545,2542.90357,29.38545139473155
573,632.0,26.0,4.0,3.0,1.0,2272.0,145815.52449946114,8646.220870000001,2048.459052445874,1584.263210348222,351.10719219577453,458.44267,543.75867,1824.3343,1802.8268100000003,200.97449965461567
574,353.0,6.0,0.0,9.0,0.0,1098.0,78268.61000490682,3152.47636,0.0,1338.4692689611086,0.0,976.3191699999999,2234.70527,562.709,3612.5598600000003,150.21654812496868
575,419.0,15.0,1.0,11.0,0.0,1316.0,91992.14667733095,4302.74316,7.5400117256591965,2233.6206546254903,0.0,199.92359,1988.6231899999998,1105.73749,3405.8608700000004,221.17916218178237
576,389.0,8.0,0.0,14.0,0.0,1210.0,91011.60086569517,4402.1955100000005,0.0,3051.990437425084,0.0,605.4086599999999,2028.47185,1189.52326,3318.30058,10.544235775512963
577,343.0,6.0,0.0,15.0,0.0,1012.0,82258.10325829386,4387.7421,0.0,3431.742232258298,0.0,670.3675400000001,2186.8735300000003,1141.6399,3401.44237,96.28505520400444
579,344.0,18.0,12.0,19.0,2.0,1074.0,60324.88468866951,7740.10955,1848.372893380363,2209.57921778906,74.69998126352623,4.22115,1539.59138,1134.75191,1881.10707,463.4796620006112
580,511.0,17.0,11.0,18.0,0.0,1878.0,111567.44999636072,4481.54314,1646.080813714909,2973.773551779656,0.0,84.07655,740.83165,54.611580000000004,2272.28899,54.6115792959699
581,403.0,18.0,23.0,19.0,1.0,1492.0,82525.72949214128,7865.3059,3701.459390377765,3086.313828216076,203.0081656214547,414.33901000000003,1014.9911599999999,653.98676,1723.16576,439.04577216884223
583,34.0,3.0,0.0,0.0,0.0,84.0,26146.83128099939,3546.79871,0.0,0.0,0.0,1148.0716,27006.74076,15063.06884,15391.117330000001,403.16826607859434
586,93.0,0.0,0.0,1.0,0.0,254.0,33258.511184744675,0.0,0.0,162.38578504396116,0.0,2328.79274,8840.51779,1838.9518100000003,2070.11088,186.6415624699984
590,75.0,2.0,0.0,0.0,0.0,252.0,25430.970509411425,4480.3692200000005,0.0,0.0,0.0,273.66687,20258.449969999998,9420.619359999999,8798.08951,216.39259702826172
593,192.0,7.0,0.0,3.0,3.0,678.0,61481.890340692116,8154.41715,0.0,5144.931934854476,597.2535389420618,34.13759,5394.80047,34.13759,644.52908,123.69736299328032
608,324.0,0.0,2.0,0.0,0.0,1050.0,61087.22179417256,0.0,2277.9720656890636,0.0,0.0,2384.4576399999996,1269.11418,2283.48295,4421.4046,298.94328755437647
609,890.0,45.0,6.0,62.0,2.0,3408.0,162216.08224883888,6644.50122,1923.6704039172448,7646.130635275996,698.2470836438428,612.3018099999999,1337.31081,601.03747,145.58898,17.561579732581826
615,909.0,20.0,12.0,5.0,0.0,3130.0,153445.57343370817,3871.19345,4212.375810538951,1192.506532452614,0.0,792.18756,723.98482,874.9140199999999,2703.6471100000003,120.48295471381492
617,410.0,9.0,9.0,30.0,1.0,1260.0,56982.46222661458,4192.80846,3520.4813217540022,8015.433621611591,137.93395366420594,684.77393,1364.34212,666.1143400000001,717.27438,559.948549342674
618,51.0,0.0,2.0,3.0,18.0,116.0,15383.71254670958,0.0,1441.9020596992734,2242.7493598039664,4531.696886635049,5774.80303,1660.02017,1660.02017,688.9848900000001,884.7321987945572
619,32.0,0.0,0.0,4.0,3.0,82.0,4880.465820211695,0.0,0.0,297.1037001264005,441.262966989732,2574.81401,2619.13883,1661.74865,1589.72686,1397.8593504631592
621,983.0,9.0,8.0,192.0,2.0,3414.0,187865.24839079028,4146.7860200000005,4502.570806451562,40142.691976659386,576.7979153414258,543.72858,105.25805,463.78963,649.45506,58.54992851801545
622,806.0,8.0,6.0,3.0,0.0,2762.0,147825.98060875683,3583.1444899999997,2530.2328742899067,1318.3337835830134,0.0,719.6067,550.87607,518.7698,2337.10565,19.5567645716214
626,988.0,0.0,0.0,0.0,6.0,3442.0,203254.98652847513,0.0,0.0,0.0,3190.9734344062626,4701.81092,3965.89065,1994.9585100000002,198.26245,86.16842509642595
627,1050.0,2.0,1.0,2.0,0.0,3568.0,174084.22658854243,2336.78153,223.72983203873886,258.79433389096,0.0,1684.93433,1868.5473600000003,1868.5473600000003,2180.8492100000003,130.06146626504932
628,1118.0,29.0,4.0,53.0,2.0,4078.0,225936.65376546077,4722.31422,1080.4351849629716,12572.151883450815,142.35682002837024,1478.19317,1664.7152199999998,207.08235,1878.3603600000001,90.76024733335579
629,333.0,8.0,0.0,15.0,14.0,1034.0,69675.6079738006,4364.42599,0.0,7208.619449110638,3317.6097009574355,636.64557,2295.27498,636.64557,376.82183,62.37291422829762
630,456.0,13.0,0.0,115.0,13.0,1496.0,97588.10227644739,5786.62402,0.0,29594.69975894777,5520.014726100396,49.67702,2111.49125,196.68066000000002,730.14449,49.67702246908861
631,707.0,0.0,19.0,286.0,1.0,2764.0,138848.66548660226,0.0,4820.153293847676,57687.40323215944,128.65754754735138,2087.98408,276.72964,128.63915,1329.17582,118.84049889500578
632,611.0,0.0,21.0,116.0,1.0,2316.0,111656.28661886664,0.0,3587.0628479673655,23286.99802808996,286.8859713033485,3313.9106,1081.26022,451.04115,1414.7405199999998,186.87520601281938
633,399.0,11.0,2.0,206.0,2.0,1310.0,75469.62459510188,5900.63619,3551.9742445111665,33346.1709425106,1303.1515120352992,482.77574000000004,660.26619,482.77574000000004,789.1052900000001,436.2160691628386
635,373.0,8.0,3.0,27.0,3.0,1236.0,87598.5730316943,5209.2943399999995,491.4854326028109,7489.597352617859,352.7676318308092,649.6329,1937.6917,649.6329,1108.1607,60.030928398677084
638,71.0,1.0,4.0,1.0,0.0,308.0,22905.462121502027,4199.84598,2510.857866660883,4216.528343777189,0.0,512.68355,273.95732999999996,526.1093599999999,9115.632679999999,369.78456504185567
647,639.0,0.0,6.0,3.0,2.0,2048.0,110246.6632708812,0.0,4926.559458307859,395.5158654542644,470.403585411266,6102.58507,756.3857,465.18926,1019.2013699999999,39.98381380036209
648,937.0,0.0,3.0,1.0,1.0,3506.0,187983.95785172645,0.0,4835.760476226049,9.994314070944913,444.49157409002794,5518.32519,504.49352999999996,251.2654,1627.67515,48.12219044594756
649,305.0,0.0,3.0,0.0,1.0,994.0,62348.69884112911,0.0,1414.6125153061084,0.0,783.9637792359332,2394.5144600000003,1861.7949600000002,2040.8823300000001,1753.5823699999999,354.07906255751936
650,202.0,3.0,11.0,3.0,0.0,650.0,47428.76293797746,3109.91918,5004.283526479164,1079.5335506543263,0.0,1280.4298099999999,654.39157,1198.67749,4970.8369600000005,538.9445551157223
651,311.0,5.0,6.0,0.0,0.0,932.0,76739.32760613953,4700.1616,2381.7297018685654,0.0,0.0,378.27776,991.6473,4236.53353,5538.28211,190.09664982957943
652,1721.0,15.0,38.0,24.0,8.0,5726.0,233596.12141261325,1675.60543,10023.217913484124,4059.1522423806655,2995.3469945524816,1822.0193600000002,65.02469,326.53712,569.34549,16.663148280041224
653,2099.0,18.0,29.0,36.0,5.0,6630.0,263690.072341267,7856.93389,8732.66348721787,10903.644299873666,1923.4012049143028,1262.22572,430.05985,817.55742,456.64907,41.22033895662883
654,704.0,0.0,0.0,1.0,1.0,2664.0,120097.43781495828,0.0,0.0,117.22567843729254,143.72194895092395,8932.910829999999,2271.51322,1209.37214,1876.46435,12.710514774515016
655,642.0,1.0,6.0,1.0,1.0,2014.0,126585.06421868765,665.14251,4089.407914042044,700.4369373126572,98.38446446854141,1886.6624399999998,489.1991,1888.0926100000001,1846.43433,29.845854968096265
656,145.0,8.0,6.0,0.0,2.0,452.0,42497.51970508041,4408.4561,3216.6980642242165,0.0,1908.901097387229,58.70307,1016.6628099999999,3694.4846,765.42765,58.70306970802204
657,1231.0,24.0,0.0,15.0,1.0,3786.0,206511.58335464465,9744.235059999999,0.0,6029.0869609610645,93.8874121625336,72.98525,2175.84618,764.34833,1234.70071,22.96202819272769
658,1737.0,18.0,23.0,18.0,8.0,5402.0,226737.0106873561,5808.63094,7328.368794718589,3128.112484797988,2995.3469945524816,205.62105,642.6023700000001,1259.4724,512.72326,34.18862767508728
727,54.0,0.0,9.0,0.0,1.0,120.0,19219.10329800453,0.0,2963.205306731319,0.0,320.9017752841991,14361.66084,1428.6767300000001,2673.42407,276.10573999999997,547.557507022644
730,446.0,0.0,8.0,2.0,1.0,1568.0,92352.68748427431,0.0,3134.128118285625,316.91807748821645,38.42568525066232,3861.7975,939.6814400000001,1467.68626,1479.59134,192.72561903761377
732,122.0,1.0,0.0,1.0,0.0,438.0,29219.5689460987,2694.77151,0.0,2694.7715098196772,0.0,1557.10141,5163.91489,1557.10141,3709.8440600000004,224.14867662836315
745,56.0,0.0,1.0,0.0,0.0,226.0,22990.79417316133,0.0,3986.0129747648157,0.0,0.0,10151.858059999999,524.67417,10152.51074,3055.88648,75.01016263429014
749,59.0,0.0,0.0,5.0,0.0,184.0,18748.419351915345,0.0,0.0,3634.823773430297,0.0,5264.076770000001,4857.44896,616.8838900000001,3444.06487,223.5525640569831
757,69.0,0.0,3.0,4.0,0.0,216.0,37109.44652403466,0.0,4559.629567936001,674.642012812264,0.0,3772.7972200000004,242.18527000000003,1693.07265,6754.16955,519.0430959205801
760,1321.0,5.0,21.0,364.0,390.0,4510.0,168408.4683764742,974.2589300000001,5992.828755013188,76208.09871239276,34552.82748346609,1831.2238,518.93974,25.21805,136.53312,25.21805196882801
782,19.0,1.0,0.0,0.0,5.0,34.0,13412.679769476737,4202.20975,0.0,0.0,3134.2912804112384,1183.43334,5773.484820000001,5773.484820000001,1396.9645,1111.3080799682136
346,67.0,1.0,0.0,2.0,0.0,230.0,19325.498002194923,696.57723,0.0,284.12120833098925,0.0,1983.74175,6355.82675,1917.31377,7483.39895,221.79167092397697
347,72.0,7.0,0.0,0.0,2.0,204.0,36446.79424598179,3484.2790200000004,0.0,0.0,1875.0846440773762,957.61462,10325.17274,3873.59669,804.8273,884.1858041005977
